subject,object,predicates,filtered_preds
Traffic,Crossing,"['passing', 'approaching', 'occupying', 'notice', 'calming', 'broken', 'improve', 'go', 'stop', 'note', 'breach', 'lights', 'required', 'invest', 'changing', 'embedded', 'have', 'take', 'hit', 'see', 'submit', 'cross', 'clearing', 'looks', 'crossing', 'add', 'watch', 'going', 'causing', 'james', 'killed', 'backed', 'combat', 'working', 'turn', 'allow', 'knows', 'create']","['crossing', 'stop', 'turn']"
Westbound,Overpass,['closed'],['closed']
Downtown,Square,['clog'],['clog']
City,Square,"['transforming', 'breaks', 'wins', 'designing', 'remember']","['transforming', 'breaks', 'wins', 'designing', 'remember']"
Car,Fence,"['calming', 'struck', 'crashed', 'landed', 'allowed', 'protect', 'ended', 'thank', 'killing', 'crashing', 'foiled']","['foiled', 'thank', 'crashing', 'allowed', 'struck', 'killing', 'landed', 'crashed', 'calming', 'ended']"
Road,Campus,['closed'],['closed']
City,Deck,"['vote', 'linking']","['vote', 'linking']"
Street,Precinct,"['remember', 'wasted', 'changed']","['remember', 'wasted', 'changed']"
Safety,Speeding,['raising'],['raising']
Bike,Subway,['spend'],['spend']
Driver,Overpass,"['charged', 'killed', 'got']","['charged', 'killed', 'got']"
Driver,Square,"['arrested', 'went']","['arrested', 'went']"
Vehicle,Fence,"['pronounce', 'ended', 'boo']","['pronounce', 'ended', 'boo']"
Pathway,Fence,['crushed'],['crushed']
Link,Stop,"['crosswalk', 'sign']","['crosswalk', 'sign']"
Ramp,Stop,['using'],['using']
Driver,Precinct,['escorted'],['escorted']
City,Overpass,"['hop', 'skybridge', 'study', 'faces', 'seeks', 'removing', 'manila', 'getting']","['removing', 'manila', 'hop', 'face', 'getting', 'skybridge', 'study', 'seek']"
Woman,Fence,"['stuck', 'put']","['stuck', 'put']"
Man,Drunk,['killing'],['killing']
Bridge,Deck,"['remain', 'goes', 'replaced']","['remain', 'goes', 'replaced']"
Construction,Fence,"['stay', 'see', 'blocked']","['stay', 'see', 'blocked']"
Construction,Overpass,"['begin', 'link', 'begins', 'according', 'removed', 'help']","['removed', 'according', 'begin', 'begin', 'link', 'help']"
Shopping,Precinct,"['let', 'upgrade', 'has']","['let', 'upgrade', 'has']"
Injuries,Overpass,['removed'],['removed']
Rail,Deck,['involved'],['involved']
Bike,Deck,"['links', 'continues']","['links', 'continues']"
City,Drunk,['pleads'],['pleads']
